FECHA,promedio_CO,promedio_O3,promedio_SO2
1/1/2021,0.359505463538072,0.833333333333333,0.784595539333422
1/2/2021,0.442157242063492,0.761904761904762,0.834427521008403
1/3/2021,0.330488260582011,0.825,0.845269464834682
1/4/2021,0.492393389564064,0.812698412698413,0.97
1/5/2021,0.389640175442967,0.840952380952381,0.944940476190476
1/6/2021,0.36033250134051,0.745265151515152,0.941220238095238
1/7/2021,0.373712761674718,0.773448773448773,0.933333333333333
1/8/2021,0.422820574162679,0.555555555555556,0.977777777777778
1/9/2021,0.324779234618749,0.73968253968254,0.843621735498166
1/10/2021,0.242436594202899,0.740740740740741,0.69629329004329
1/11/2021,0.290240183586436,0.795833333333333,0.71643642305407
1/12/2021,0.270603801169591,0.687291280148423,0.607428025191183
1/13/2021,0.435886275294044,0.570707070707071,0.835993799229093
1/14/2021,0.371082602983532,0.728835978835979,0.933333333333333
1/15/2021,0.474320225519882,0.625180375180375,NULL
1/16/2021,0.384152217046239,0.812121212121212,0.955494505494505
1/17/2021,0.306238850722546,0.593809523809524,0.813384230503796
1/18/2021,0.505571188071188,0.664895710350256,0.849305555555556
1/19/2021,0.400900565737022,0.901984126984127,0.84279532984776
1/20/2021,0.3455778841042,0.635416666666667,0.869047619047619
1/21/2021,0.357701904554775,0.593571428571429,0.902892561983471
1/22/2021,0.378281929482377,0.864583333333333,0.978571428571429
1/23/2021,0.405232848122722,1,0.928104575163399
1/24/2021,0.376580817230274,0.8,0.919642857142857
1/25/2021,0.303908830802852,0.809523809523809,0.81301652892562
1/26/2021,0.359055360828542,0.66,0.966190476190476
1/27/2021,0.320165193286246,0.76,0.93
1/28/2021,0.215748353096179,NULL,0.791759702286018
1/29/2021,0.394553090190442,0.751322751322751,1
1/30/2021,0.435094926182739,0.652777777777778,1
1/31/2021,0.266917003927353,0.785714285714286,0.897612488521579
2/1/2021,0.205598845598846,NULL,0.809090909090909
2/2/2021,0.40471402905395,0.574074074074074,1
2/3/2021,0.402246164362701,0.920634920634921,0.930555555555556
2/4/2021,0.425129590833222,0.916666666666667,0.895285087719298
2/5/2021,0.424298201301059,0.833333333333333,0.958333333333333
2/6/2021,0.355956915284978,1,0.973684210526316
2/7/2021,0.345338345864662,1,0.950641025641026
2/8/2021,0.31126653928209,1,0.793338907469342
2/9/2021,0.381950511609603,0.875,0.917647058823529
2/10/2021,0.408070922044707,0.857142857142857,0.907411385606874
2/11/2021,0.287108758391367,0.777380952380952,0.76286231884058
2/12/2021,0.222910843403874,0.75625,0.734660267268963
2/13/2021,0.22582683982684,0.75,0.665755297334245
2/14/2021,0.279166666666667,0.666666666666667,0.696805006587615
2/15/2021,0.280942959379224,1,0.675329380764163
2/16/2021,0.262667251807204,1,0.690574576938213
2/17/2021,0.296158492034974,0.916666666666667,0.747185291651695
2/18/2021,0.392371183938901,0.816326530612245,0.764705882352941
2/19/2021,0.455244758509464,0.819444444444444,1
2/20/2021,0.370091401023219,0.761904761904762,1
2/21/2021,0.390076387969565,0.8125,1
2/22/2021,0.363025674363775,1,1
2/23/2021,0.323777997364954,0.583333333333333,1
2/24/2021,0.309924614356589,0.833333333333333,0.758333333333333
2/25/2021,0.346873718386876,0.75,0.873106060606061
2/26/2021,0.433122709011835,0.916666666666667,0.964285714285714
2/27/2021,0.429570049753831,0.633333333333333,0.979166666666667
2/28/2021,0.376771866259852,1,0.907051282051282
